Id;Label;Interval
717;717;16
722;722;16
790;790;16
835;835;16
837;837;16
841;841;16
864;864;16
893;893;16
912;912;16
934;934;16
993;993;16
1015;1015;16
1025;1025;16
1111;1111;16
1130;1130;16
1145;1145;16
1157;1157;16
1158;1158;16
1166;1166;16
1202;1202;16
1218;1218;16
1243;1243;16
1248;1248;16
1340;1340;16
1368;1368;16
1373;1373;16
1386;1386;16
1400;1400;16
1414;1414;16
1428;1428;16
1430;1430;16
1459;1459;16
1586;1586;16
1589;1589;16
1656;1656;16
1658;1658;16
1713;1713;16
1719;1719;16
1739;1739;16
1740;1740;16
1746;1746;16
1750;1750;16
1760;1760;16
1795;1795;16
1845;1845;16
1863;1863;16
1900;1900;16
1997;1997;16
2006;2006;16
2017;2017;16
2022;2022;16
2113;2113;16
2116;2116;16
2119;2119;16
2128;2128;16
2165;2165;16
2244;2244;16
2309;2309;16
2315;2315;16
2316;2316;16
2340;2340;16
2354;2354;16
2359;2359;16
2395;2395;16
2440;2440;16
2455;2455;16
2467;2467;16
2483;2483;16
2486;2486;16
2504;2504;16
2518;2518;16
2546;2546;16
2570;2570;16
2618;2618;16
2624;2624;16
2651;2651;16
2683;2683;16
2709;2709;16
2744;2744;16
2789;2789;16
2828;2828;16
2928;2928;16
2996;2996;16
3001;3001;16
3004;3004;16
3052;3052;16
3070;3070;16
3078;3078;16
3135;3135;16
3156;3156;16
3164;3164;16
3173;3173;16
3216;3216;16
3245;3245;16
3351;3351;16
3373;3373;16
3382;3382;16
3396;3396;16
3400;3400;16
3413;3413;16
3453;3453;16
3529;3529;16
3531;3531;16
3624;3624;16
3665;3665;16
3697;3697;16
3698;3698;16
3815;3815;16
3826;3826;16
3827;3827;16
3837;3837;16
3885;3885;16
3887;3887;16
3912;3912;16
3923;3923;16
3959;3959;16
3987;3987;16
3997;3997;16
4002;4002;16
4006;4006;16
4030;4030;16
4085;4085;16
4120;4120;16
4190;4190;16
4212;4212;16
4303;4303;16
4342;4342;16
4386;4386;16
4462;4462;16
4491;4491;16
4505;4505;16
4524;4524;16
4536;4536;16
4560;4560;16
4575;4575;16
4610;4610;16
4631;4631;16
4641;4641;16
4675;4675;16
4681;4681;16
4717;4717;16
4780;4780;16
4819;4819;16
4862;4862;16
4875;4875;16
5015;5015;16
5017;5017;16
5081;5081;16
5128;5128;16
5130;5130;16
5143;5143;16
5156;5156;16
5184;5184;16
5201;5201;16
5209;5209;16
5215;5215;16
5223;5223;16
5288;5288;16
5302;5302;16
5341;5341;16
5432;5432;16
5442;5442;16
5622;5622;16
5663;5663;16
5791;5791;16
5837;5837;16
5968;5968;16
5976;5976;16
5999;5999;16
6077;6077;16
6087;6087;16
6088;6088;16
6112;6112;16
6137;6137;16
6150;6150;16
6161;6161;16
6165;6165;16
6169;6169;16
6184;6184;16
6204;6204;16
6238;6238;16
6248;6248;16
6255;6255;16
6388;6388;16
6440;6440;16
6451;6451;16
6577;6577;16
7112;7112;16
7318;7318;16
7349;7349;16
7359;7359;16
7461;7461;16
7999;7999;16
8097;8097;16
8232;8232;16
8545;8545;16
8564;8564;16
8743;8743;16
8984;8984;16
9002;9002;16
9110;9110;16
9635;9635;16
10159;10159;16
0;0;17
9;9;17
44;44;17
54;54;17
81;81;17
91;91;17
141;141;17
206;206;17
270;270;17
277;277;17
335;335;17
354;354;17
382;382;17
385;385;17
486;486;17
562;562;17
574;574;17
590;590;17
592;592;17
605;605;17
640;640;17
647;647;17
675;675;17
677;677;17
692;692;17
702;702;17
720;720;17
727;727;17
826;826;17
834;834;17
846;846;17
860;860;17
871;871;17
925;925;17
943;943;17
1008;1008;17
1088;1088;17
1101;1101;17
1223;1223;17
1281;1281;17
1317;1317;17
1334;1334;17
1365;1365;17
1398;1398;17
1401;1401;17
1421;1421;17
1472;1472;17
1550;1550;17
1555;1555;17
