Source;Target;Type;Weight
0;9;Directed;1
25;99;Directed;1
25;106;Directed;1
25;107;Directed;1
26;89;Directed;1
26;90;Directed;1
26;91;Directed;1
26;92;Directed;1
26;93;Directed;1
26;94;Directed;1
26;97;Directed;1
46;92;Directed;1
46;127;Directed;1
46;128;Directed;1
46;129;Directed;1
46;130;Directed;1
46;131;Directed;1
46;132;Directed;1
46;133;Directed;1
54;147;Directed;1
54;148;Directed;1
54;149;Directed;1
58;165;Directed;1
58;167;Directed;1
58;168;Directed;1
58;170;Directed;1
58;171;Directed;1
58;174;Directed;1
65;200;Directed;1
65;205;Directed;1
75;220;Directed;1
81;750;Directed;1
81;2738;Directed;1
81;3297;Directed;1
83;223;Directed;1
87;244;Directed;1
89;148;Directed;1
89;266;Directed;1
89;267;Directed;1
89;270;Directed;1
90;89;Directed;1
90;92;Directed;1
90;223;Directed;1
90;260;Directed;1
90;261;Directed;1
90;262;Directed;1
90;263;Directed;1
90;265;Directed;1
91;252;Directed;1
92;275;Directed;1
92;277;Directed;1
93;107;Directed;1
93;288;Directed;1
93;290;Directed;1
97;742;Directed;1
97;871;Directed;1
99;328;Directed;1
99;329;Directed;1
99;330;Directed;1
106;171;Directed;1
106;343;Directed;1
106;344;Directed;1
106;345;Directed;1
106;346;Directed;1
106;347;Directed;1
106;348;Directed;1
107;6479;Directed;1
118;375;Directed;1
120;97;Directed;1
120;408;Directed;1
120;443;Directed;1
121;486;Directed;1
121;487;Directed;1
124;424;Directed;1
127;2364;Directed;1
127;3684;Directed;1
128;429;Directed;1
128;430;Directed;1
128;433;Directed;1
129;2518;Directed;1
129;3311;Directed;1
130;447;Directed;1
130;453;Directed;1
131;328;Directed;1
132;467;Directed;1
133;570;Directed;1
133;1755;Directed;1
133;2002;Directed;1
133;3680;Directed;1
137;495;Directed;1
141;505;Directed;1
148;121;Directed;1
162;570;Directed;1
162;574;Directed;1
162;577;Directed;1
165;590;Directed;1
165;592;Directed;1
165;596;Directed;1
167;610;Directed;1
167;615;Directed;1
168;620;Directed;1
168;621;Directed;1
170;717;Directed;1
170;720;Directed;1
170;722;Directed;1
171;628;Directed;1
171;630;Directed;1
171;631;Directed;1
176;180;Directed;1
176;633;Directed;1
176;640;Directed;1
176;642;Directed;1
180;647;Directed;1
180;648;Directed;1
180;649;Directed;1
180;650;Directed;1
185;3578;Directed;1
187;167;Directed;1
187;407;Directed;1
187;568;Directed;1
187;693;Directed;1
187;694;Directed;1
187;695;Directed;1
187;696;Directed;1
187;697;Directed;1
187;698;Directed;1
187;699;Directed;1
189;674;Directed;1
189;675;Directed;1
189;677;Directed;1
190;1091;Directed;1
190;1579;Directed;1
190;3004;Directed;1
190;4496;Directed;1
192;692;Directed;1
200;727;Directed;1
206;328;Directed;1
206;753;Directed;1
206;754;Directed;1
206;756;Directed;1
213;348;Directed;1
213;410;Directed;1
213;761;Directed;1
213;762;Directed;1
213;763;Directed;1
213;765;Directed;1
213;766;Directed;1
220;781;Directed;1
223;786;Directed;1
223;788;Directed;1
223;789;Directed;1
223;790;Directed;1
234;92;Directed;1
237;296;Directed;1
237;812;Directed;1
237;819;Directed;1
237;824;Directed;1
238;826;Directed;1
238;832;Directed;1
238;834;Directed;1
238;835;Directed;1
239;911;Directed;1
239;912;Directed;1
244;669;Directed;1
244;1021;Directed;1
244;1024;Directed;1
244;1025;Directed;1
244;1026;Directed;1
260;162;Directed;1
260;329;Directed;1
260;977;Directed;1
261;547;Directed;1
261;934;Directed;1
261;935;Directed;1
262;330;Directed;1
262;943;Directed;1
262;945;Directed;1
262;946;Directed;1
263;1717;Directed;1
265;1031;Directed;1
266;1015;Directed;1
267;628;Directed;1
267;928;Directed;1
267;961;Directed;1
270;263;Directed;1
270;1050;Directed;1
275;149;Directed;1
275;1003;Directed;1
277;637;Directed;1
277;638;Directed;1
277;698;Directed;1
277;1008;Directed;1
311;970;Directed;1
311;3216;Directed;1
314;560;Directed;1
314;596;Directed;1
314;850;Directed;1
314;1109;Directed;1
314;1130;Directed;1
315;1157;Directed;1
315;1158;Directed;1
315;1164;Directed;1
315;1165;Directed;1
328;1185;Directed;1
335;397;Directed;1
335;1198;Directed;1
335;1202;Directed;1
335;1203;Directed;1
343;44;Directed;1
343;1203;Directed;1
344;1217;Directed;1
345;1218;Directed;1
345;1223;Directed;1
346;1229;Directed;1
346;1231;Directed;1
347;1243;Directed;1
348;1248;Directed;1
348;1252;Directed;1
354;407;Directed;1
354;699;Directed;1
354;765;Directed;1
354;867;Directed;1
354;945;Directed;1
354;1072;Directed;1
354;1255;Directed;1
354;1299;Directed;1
356;1306;Directed;1
356;1308;Directed;1
375;129;Directed;1
375;346;Directed;1
375;505;Directed;1
375;565;Directed;1
375;566;Directed;1
375;1317;Directed;1
381;1322;Directed;1
381;1323;Directed;1
381;1324;Directed;1
385;161;Directed;1
385;1747;Directed;1
385;2396;Directed;1
385;2898;Directed;1
385;3684;Directed;1
390;1347;Directed;1
397;1248;Directed;1
397;1353;Directed;1
397;1354;Directed;1
397;1356;Directed;1
405;790;Directed;1
405;819;Directed;1
405;1157;Directed;1
405;1217;Directed;1
405;1359;Directed;1
407;695;Directed;1
407;1365;Directed;1
408;1172;Directed;1
408;1367;Directed;1
408;1368;Directed;1
408;1373;Directed;1
410;717;Directed;1
410;1382;Directed;1
410;1386;Directed;1
411;129;Directed;1
411;1414;Directed;1
412;1391;Directed;1
424;1428;Directed;1
424;1430;Directed;1
429;2904;Directed;1
429;3052;Directed;1
429;3502;Directed;1
430;640;Directed;1
433;720;Directed;1
433;1459;Directed;1
447;148;Directed;1
447;174;Directed;1
447;346;Directed;1
447;628;Directed;1
447;693;Directed;1
447;987;Directed;1
447;1503;Directed;1
447;1504;Directed;1
447;1506;Directed;1
453;638;Directed;1
467;871;Directed;1
467;1555;Directed;1
486;165;Directed;1
486;407;Directed;1
486;568;Directed;1
486;694;Directed;1
486;695;Directed;1
486;696;Directed;1
486;697;Directed;1
486;698;Directed;1
486;699;Directed;1
486;1255;Directed;1
487;213;Directed;1
487;1586;Directed;1
487;1589;Directed;1
495;720;Directed;1
495;893;Directed;1
495;1281;Directed;1
495;1598;Directed;1
512;989;Directed;1
512;1632;Directed;1
512;1633;Directed;1
515;1625;Directed;1
547;1713;Directed;1
547;1717;Directed;1
547;1718;Directed;1
547;1719;Directed;1
562;824;Directed;1
562;1764;Directed;1
562;1765;Directed;1
565;1356;Directed;1
565;1760;Directed;1
566;1774;Directed;1
567;547;Directed;1
567;1824;Directed;1
567;1826;Directed;1
568;621;Directed;1
568;961;Directed;1
569;130;Directed;1
569;131;Directed;1
569;430;Directed;1
569;763;Directed;1
569;851;Directed;1
570;2619;Directed;1
570;3300;Directed;1
574;1932;Directed;1
574;2396;Directed;1
574;4957;Directed;1
574;5081;Directed;1
574;5082;Directed;1
577;1795;Directed;1
581;1555;Directed;1
581;1814;Directed;1
582;288;Directed;1
590;1317;Directed;1
590;1841;Directed;1
590;1845;Directed;1
590;1846;Directed;1
596;106;Directed;1
596;343;Directed;1
596;344;Directed;1
596;345;Directed;1
596;346;Directed;1
596;347;Directed;1
596;348;Directed;1
596;794;Directed;1
605;1893;Directed;1
605;1900;Directed;1
610;1109;Directed;1
610;1186;Directed;1
610;1883;Directed;1
610;1884;Directed;1
615;263;Directed;1
615;538;Directed;1
615;765;Directed;1
615;983;Directed;1
615;987;Directed;1
615;989;Directed;1
615;1553;Directed;1
615;1903;Directed;1
615;1904;Directed;1
615;1905;Directed;1
620;1919;Directed;1
620;1922;Directed;1
621;260;Directed;1
621;1409;Directed;1
628;946;Directed;1
628;1927;Directed;1
628;1929;Directed;1
630;223;Directed;1
630;1932;Directed;1
630;1933;Directed;1
630;1934;Directed;1
631;1940;Directed;1
633;180;Directed;1
633;190;Directed;1
633;223;Directed;1
633;925;Directed;1
633;928;Directed;1
633;1340;Directed;1
633;1943;Directed;1
637;487;Directed;1
637;1091;Directed;1
637;1962;Directed;1
637;1963;Directed;1
637;1968;Directed;1
638;1953;Directed;1
647;410;Directed;1
647;566;Directed;1
647;826;Directed;1
647;1551;Directed;1
647;1699;Directed;1
647;1959;Directed;1
647;1971;Directed;1
648;2011;Directed;1
650;596;Directed;1
660;46;Directed;1
660;2002;Directed;1
660;2006;Directed;1
660;2007;Directed;1
664;1169;Directed;1
669;171;Directed;1
669;290;Directed;1
669;385;Directed;1
669;982;Directed;1
669;1538;Directed;1
669;2022;Directed;1
674;832;Directed;1
674;1555;Directed;1
675;170;Directed;1
675;648;Directed;1
675;696;Directed;1
675;1533;Directed;1
692;263;Directed;1
692;538;Directed;1
692;697;Directed;1
692;765;Directed;1
692;983;Directed;1
692;1553;Directed;1
692;1904;Directed;1
692;1905;Directed;1
692;2096;Directed;1
693;1845;Directed;1
696;2113;Directed;1
696;2116;Directed;1
696;2119;Directed;1
698;1231;Directed;1
698;1589;Directed;1
698;2018;Directed;1
698;2285;Directed;1
699;1258;Directed;1
699;2127;Directed;1
699;2128;Directed;1
702;1963;Directed;1
702;3574;Directed;1
702;3684;Directed;1
703;796;Directed;1
709;487;Directed;1
709;1164;Directed;1
709;2166;Directed;1
709;2169;Directed;1
714;356;Directed;1
717;54;Directed;1
717;2181;Directed;1
717;2182;Directed;1
722;165;Directed;1
722;412;Directed;1
722;453;Directed;1
722;699;Directed;1
722;1054;Directed;1
722;2195;Directed;1
722;2196;Directed;1
722;2197;Directed;1
727;2212;Directed;1
750;1503;Directed;1
753;512;Directed;1
756;6137;Directed;1
756;6453;Directed;1
761;1929;Directed;1
762;408;Directed;1
762;628;Directed;1
762;889;Directed;1
762;1533;Directed;1
762;2265;Directed;1
762;2268;Directed;1
763;1598;Directed;1
765;1408;Directed;1
765;2283;Directed;1
765;2285;Directed;1
766;2288;Directed;1
781;2396;Directed;1
789;742;Directed;1
789;2315;Directed;1
789;2316;Directed;1
789;2320;Directed;1
790;1194;Directed;1
790;1359;Directed;1
790;1747;Directed;1
790;2204;Directed;1
790;2323;Directed;1
826;385;Directed;1
826;2002;Directed;1
826;2367;Directed;1
832;985;Directed;1
832;988;Directed;1
832;2331;Directed;1
832;2383;Directed;1
835;187;Directed;1
835;190;Directed;1
835;260;Directed;1
835;2388;Directed;1
835;2389;Directed;1
837;340;Directed;1
837;1164;Directed;1
837;2354;Directed;1
837;2412;Directed;1
837;2415;Directed;1
838;2403;Directed;1
838;2409;Directed;1
841;185;Directed;1
841;838;Directed;1
841;1421;Directed;1
841;2416;Directed;1
846;720;Directed;1
846;1835;Directed;1
846;2440;Directed;1
851;129;Directed;1
851;505;Directed;1
851;565;Directed;1
851;566;Directed;1
851;567;Directed;1
851;568;Directed;1
